age,income,loan_amount,credit_score,employment_length,delinquencies,default
21,81514,23498,644,7,3,1
25,106236,12142,633,1,1,1
38,41058,39362,618,0,2,1
25,39558,10484,670,7,2,1
31,42444,7773,688,5,3,1
47,92123,6789,787,17,1,0
31,80847,13312,703,14,3,1
42,57289,1243,761,15,4,1
25,60731,17356,592,10,2,1
32,43669,1000,537,2,3,0
25,77800,16293,648,17,0,1
31,52401,4189,710,9,4,0
43,54798,11949,699,8,1,0
18,72175,19836,734,12,0,1
39,56240,33432,472,3,2,1
37,55300,6375,737,9,1,0
29,60211,13797,673,12,2,1
20,75907,9209,541,13,4,1
35,92929,8041,700,10,2,0
29,71709,9280,661,19,1,0
37,76066,21592,676,19,4,0
35,56002,11095,719,1,1,1
51,45844,32994,680,1,4,1
32,73079,18327,546,10,4,1
24,63424,6919,639,16,2,0
36,31547,12066,536,10,3,1
37,53438,8585,695,4,3,0
48,58342,21400,747,11,4,0
43,49790,1889,563,18,2,1
38,89634,4272,602,3,2,0
49,69596,10267,588,8,1,1
23,87463,20463,618,12,2,1
28,65268,24864,678,7,3,1
25,61627,26044,618,0,2,1
31,41268,19238,695,13,1,1
21,60238,14336,724,14,2,1
41,60261,21357,727,13,2,1
32,32657,5843,571,13,0,1
20,49209,1000,747,13,3,1
24,53534,18493,752,6,4,1
38,68269,6954,758,0,1,1
43,69227,14477,638,19,1,1
54,48373,15957,597,4,0,1
64,69377,16984,581,16,2,1
39,56358,22502,572,10,2,1
25,20000,21656,650,10,4,1
18,50305,16560,709,0,4,1
37,81579,11463,741,19,3,0
26,26363,15862,616,10,1,1
30,62253,10230,647,16,0,1
28,91705,13428,642,15,2,1
33,44787,35945,605,2,3,1
45,60042,16457,701,18,0,1
36,33919,18601,675,11,2,1
33,92544,9356,659,3,0,0
24,58333,23160,675,11,1,1
18,60932,21082,693,12,1,1
30,87086,21138,692,13,0,1
34,73229,16719,591,6,1,1
52,42487,23273,712,18,3,1
36,47054,25173,667,4,4,1
44,69898,17264,619,9,3,1
30,47517,14083,666,16,1,1
23,20000,22156,674,1,4,1
25,58935,7766,725,8,2,1
27,30395,9256,576,9,1,1
56,92325,14573,742,15,4,1
26,63535,1069,651,15,1,0
43,41896,21620,614,15,3,1
25,46027,7296,612,7,0,1
44,22212,11228,579,9,1,1
38,38010,13293,528,0,4,1
33,80326,15314,697,16,1,1
34,104635,12250,788,6,4,0
28,74527,14461,536,9,2,1
39,58159,14522,583,13,4,1
30,51360,11423,702,15,2,0
22,40870,8814,646,1,2,1
22,101195,23651,708,15,1,1
36,56225,1000,642,7,1,0
50,102312,13354,609,8,4,0
36,87870,11248,634,2,2,1
33,25184,18350,483,14,2,1
37,46680,3365,569,9,1,0
48,46619,11001,716,2,3,1
37,58403,14181,733,2,1,0
30,58793,23560,748,14,1,1
46,119924,17657,680,2,0,0
39,38455,5532,492,10,4,0
50,64579,11100,605,13,0,1
36,72330,22088,742,18,4,1
22,59968,5393,763,3,1,1
21,62203,14370,745,5,0,1
51,39103,14927,633,3,4,1
52,62129,11913,558,17,3,1
33,70227,36566,647,11,3,1
31,66552,11698,651,19,2,1
49,71404,18598,759,0,3,1
23,88252,8869,665,14,0,1
26,78739,19221,651,0,1,0
41,61425,21966,655,2,2,1
31,36564,10296,677,8,3,0
34,47999,14562,693,7,2,1
33,55607,7837,599,7,2,1
38,65046,5844,575,1,3,1
49,50433,23294,745,10,0,1
35,41285,10567,535,6,2,1
41,36236,1000,764,19,1,1
18,26976,29122,516,15,2,1
34,55300,8583,609,8,0,1
26,30606,13029,718,15,4,1
22,39989,28127,650,11,4,1
26,52121,13866,557,9,4,1
31,33281,13693,679,18,4,1
44,67595,5174,654,11,3,0
21,74804,1921,634,9,1,1
35,49011,13668,606,11,0,1
30,51259,17902,647,15,3,0
31,70748,17444,609,14,4,1
45,45720,11149,820,10,1,1
40,44345,15162,633,3,4,1
48,83929,1000,623,12,0,1
33,77683,18681,612,8,1,0
28,72031,16291,774,18,3,1
32,78512,30789,535,18,2,1
37,20454,15059,675,0,3,1
36,87076,7458,633,19,1,0
24,67841,14594,550,18,3,1
35,80215,12377,592,18,1,1
37,67743,18477,672,9,0,1
60,60978,15215,589,5,2,1
53,54493,4920,668,12,2,0
26,67342,1914,771,17,2,0
32,53765,17103,661,9,0,1
20,77357,26064,548,19,2,1
29,28270,15634,590,5,0,1
38,49168,21506,630,17,4,1
47,100896,23102,625,1,0,1
27,47478,17134,660,16,4,1
28,55226,8484,671,18,0,1
18,42348,16562,771,14,3,1
33,66716,24656,649,12,1,1
24,45274,19239,569,8,0,1
29,56287,20985,730,17,1,1
26,76977,11299,738,2,0,1
34,46024,13381,666,5,3,1
18,75772,14050,632,2,4,1
20,76444,14589,693,5,1,0
56,81099,24343,635,10,2,1
22,62810,1000,506,6,0,1
24,124825,15244,689,8,2,1
53,81090,14364,712,4,4,1
64,66497,4027,750,7,2,1
23,42481,20374,598,9,4,1
31,58058,9203,665,4,3,1
38,88526,12143,667,18,0,1
52,94190,29790,655,17,0,1
25,89566,23079,658,17,1,1
32,75703,19595,652,0,4,1
42,34886,18046,664,9,0,0
39,69743,13682,701,15,0,1
31,35171,30995,735,6,4,1
33,30250,21417,597,4,0,1
21,64783,9003,637,12,1,1
32,70463,3799,620,0,3,1
32,78067,19534,610,12,0,1
37,69942,14553,536,9,0,1
29,70631,3568,651,13,3,0
39,40306,18428,683,13,0,1
45,57900,12847,639,10,3,0
36,29857,19245,649,11,2,1
38,20000,18533,679,0,1,0
35,74812,10133,748,19,3,1
35,44937,20062,620,1,1,1
27,77449,11016,567,19,4,1
38,82166,11536,643,19,2,1
34,47613,10741,781,14,3,1
55,71806,24047,568,14,1,1
50,46776,12755,695,0,4,1
38,23082,25979,731,18,1,1
27,62466,29267,484,10,2,0
23,50582,9090,678,6,4,1
46,51198,1000,692,13,4,1
37,99506,23356,631,10,3,1
39,29482,12264,604,7,3,1
18,67657,8070,608,6,3,1
44,40103,10290,627,2,2,1
39,78165,11681,628,18,3,1
23,65968,25377,615,13,2,1
30,67586,16279,625,5,2,1
37,41102,25268,733,14,1,1
35,44688,18953,564,13,1,1
32,78545,12526,527,2,0,1
33,95415,11877,734,3,3,1
32,69606,19492,636,4,0,1
36,42051,21563,622,2,0,0
49,66778,22974,642,16,1,1
18,108549,12907,664,3,0,1
32,62048,16401,613,16,3,1
36,89236,19672,685,10,0,1
37,45193,11928,582,2,2,1
31,59158,5920,628,16,3,1
18,72391,8549,494,3,2,0
38,67946,13071,732,19,2,0
52,44672,20297,637,0,1,1
19,43809,25071,696,12,2,1
43,79765,4151,683,6,3,0
31,83831,10221,688,10,2,0
34,90242,12137,649,16,3,1
24,96078,21357,677,15,4,0
31,62692,10775,582,5,1,1
48,53776,11562,568,1,0,1
40,87019,3704,642,5,2,0
52,74261,18867,602,16,1,1
46,40350,13708,749,10,0,0
39,39327,9767,676,15,3,1
52,69838,12923,599,9,3,1
39,56454,24015,630,10,3,1
43,59471,6960,659,1,3,0
32,81450,8266,645,0,2,1
35,75180,25018,669,14,2,1
28,86597,15606,654,4,1,1
44,21369,20358,552,7,3,1
23,65067,18214,499,7,4,1
42,73893,14717,623,12,4,1
33,29468,12213,689,18,2,1
46,46902,21652,624,15,0,1
42,43190,24298,736,12,4,1
53,60433,23673,646,16,2,1
42,92557,5516,745,10,3,1
19,100451,25439,730,2,1,1
34,43714,12136,723,9,4,1
23,70531,8959,565,19,4,1
29,71175,13645,651,15,0,1
50,67752,21649,735,6,2,1
41,67979,19323,669,6,2,1
28,66074,12956,688,18,3,1
24,93751,21701,552,1,1,1
35,82049,16118,784,18,0,1
22,38796,10416,594,13,1,1
28,75914,9335,510,16,2,0
38,77847,18281,625,6,1,1
46,66299,14339,478,12,2,0
41,82628,3995,574,6,1,0
18,63761,21777,829,0,3,1
38,64009,11157,623,9,2,1
35,62424,27736,550,19,0,1
39,20000,3776,651,4,3,1
51,58392,13554,587,3,1,1
18,46634,9400,710,18,1,1
29,36271,7196,587,18,3,1
40,88680,11105,668,16,1,1
19,70084,29164,569,19,0,1
49,59403,16146,831,19,1,0
38,48703,8666,685,18,1,0
43,65923,1000,639,19,3,1
29,79828,1229,629,14,3,0
43,43460,10708,611,6,0,1
45,59903,9930,596,9,3,1
37,77361,13207,594,7,3,1
37,21279,1000,767,10,0,0
37,58848,14266,611,13,1,0
26,51414,23221,500,4,3,1
33,57323,27982,568,0,2,1
33,49967,1000,714,12,1,0
38,62752,8588,632,19,3,1
44,98472,8166,640,17,3,1
24,53521,16165,731,0,2,1
33,65834,5241,595,11,0,1
49,99894,28458,694,10,3,1
27,48999,15348,603,8,0,1
26,96293,14014,690,13,4,1
37,60106,27741,622,8,0,1
43,95637,14871,633,18,0,0
35,75004,18202,707,18,1,1
48,66142,8993,702,12,1,1
43,58687,4035,638,9,1,1
43,47519,10117,616,11,4,1
40,61515,32495,761,18,1,1
58,77947,20064,691,6,4,1
32,59737,17196,622,17,0,1
18,53667,7189,604,11,3,1
51,54984,22290,721,1,0,0
30,79849,4138,658,14,1,0
36,84503,2463,638,4,0,0
48,46656,10528,658,10,1,0
18,46628,30635,673,19,2,1
22,67587,30183,646,15,4,1
18,90550,11390,734,13,3,0
27,82919,9606,738,1,3,1
39,34962,1877,687,17,2,1
40,54718,15624,746,6,1,1
37,41387,16296,650,1,1,1
20,54649,21316,698,19,0,1
18,92088,22285,720,3,3,1
35,31547,13420,721,6,3,1
30,27622,19448,714,2,2,1
39,43428,9394,694,12,2,1
42,65746,19296,786,17,1,1
36,72415,10942,612,10,4,1
42,68748,18675,639,17,4,1
37,83513,18028,634,18,2,1
40,24738,15550,624,17,3,1
27,83766,21356,510,3,1,1
33,53758,2436,746,4,0,1
36,74629,6480,578,5,1,0
43,33531,12839,661,12,4,1
31,60099,3453,550,17,2,0
40,64725,11745,693,6,4,1
32,83115,12002,595,13,1,0
33,28294,25477,570,3,2,1
43,60615,16140,663,10,0,1
18,38295,23235,600,15,3,1
22,70109,17413,609,7,1,1
20,75544,10714,662,3,0,0
18,85743,16069,705,8,1,1
28,49299,20835,592,15,3,1
42,78544,24547,580,18,4,1
32,87218,13941,651,12,4,1
36,27135,1819,687,13,1,1
45,72246,1257,752,8,2,0
48,79170,12388,575,18,2,0
34,54825,1000,627,17,3,0
48,35784,29360,732,19,3,1
35,78859,19775,788,17,0,1
26,36009,9914,580,10,0,1
29,56432,6122,598,19,2,1
20,59197,23224,676,12,2,1
26,74310,6090,609,12,4,1
31,47467,6854,596,13,4,1
43,46308,8872,667,3,0,0
52,61978,15912,758,16,2,1
21,80127,19966,558,7,2,1
38,105749,24541,754,13,2,1
24,29850,23359,609,16,0,1
39,66306,15006,674,2,4,0
33,38269,23164,761,6,0,1
18,80376,9632,672,18,4,1
44,41229,1000,629,7,4,1
28,46507,9630,700,13,4,1
29,48214,8549,637,11,0,1
24,58476,9944,686,17,2,1
28,66463,7325,635,10,0,1
39,69674,11311,710,8,3,1
33,59884,19960,552,0,4,1
38,33402,28722,579,9,2,1
38,74555,1197,551,11,0,0
48,58940,4698,646,13,1,1
31,83234,8668,542,15,0,1
20,45845,21125,601,15,2,1
45,27954,13360,572,9,1,1
31,59319,9207,753,1,4,1
46,85919,20733,580,5,1,1
38,63218,22651,559,8,1,1
33,56006,14849,667,19,1,1
38,42593,8470,768,15,4,1
54,95155,17162,641,17,1,1
55,39407,13133,647,19,4,1
35,45492,13071,740,2,3,1
36,71400,10900,711,0,1,1
45,22879,22399,679,11,2,1
26,85491,16999,609,5,0,1
38,72483,23285,681,17,4,1
34,77984,25690,554,9,4,1
38,71162,18671,606,0,1,1
26,56777,10948,750,4,0,1
19,38737,23322,741,6,2,1
18,57198,18725,680,0,3,0
23,40495,35826,514,6,3,1
30,69723,17480,565,10,0,1
32,76135,20581,602,17,0,1
54,89536,17323,637,12,1,1
46,67435,14207,562,1,3,1
25,78491,12929,632,8,1,0
38,54057,17353,773,15,4,0
30,50434,19169,678,7,1,1
32,69473,24235,665,11,4,1
36,52270,17470,578,19,4,1
41,65383,11296,535,2,3,1
31,38776,12385,564,9,0,1
45,42367,4416,532,12,0,1
23,72708,28289,655,15,0,0
35,77733,10670,676,16,3,1
60,40286,22739,582,5,3,1
37,73412,17212,660,9,4,1
49,49345,17429,752,16,4,1
35,60330,14060,787,16,1,1
40,88338,8697,703,16,1,1
34,76149,7251,637,13,3,0
33,75917,28827,701,5,3,1
27,98175,15911,744,7,1,0
39,45922,24002,509,13,0,1
26,40282,26079,753,5,0,1
41,45557,11713,611,13,4,1
45,54909,18388,612,10,1,1
38,20000,15360,625,8,3,1
32,55851,5742,672,7,4,1
39,49108,13516,572,15,4,1
31,75675,19700,630,9,2,1
44,67048,11007,686,6,3,0
18,47986,12401,665,7,0,1
31,71799,13613,676,9,4,1
18,74465,31892,627,12,4,1
20,44629,1000,698,19,1,0
48,50139,19013,723,6,1,1
43,20000,12973,719,3,3,1
27,38186,9874,679,19,2,1
19,45150,12776,715,2,3,1
18,61483,20339,710,18,0,1
29,41092,20796,837,2,1,1
59,49730,16488,735,7,3,1
39,35493,23741,643,19,4,1
29,63422,25150,586,3,0,1
39,68514,21531,631,3,3,0
19,68047,10630,626,12,0,1
32,60247,18955,685,3,4,1
35,29178,18993,600,0,1,1
34,47600,8474,733,13,1,1
42,51853,2444,552,19,3,0
38,51934,1000,535,15,4,1
41,61499,15558,640,19,2,1
28,88510,17384,591,10,1,1
43,76241,5545,561,12,4,1
51,40249,23368,605,19,4,1
25,73568,16217,596,10,2,1
26,72806,25795,650,0,0,0
48,43878,17964,606,4,4,1
33,76977,6469,612,12,3,1
49,56792,18666,649,17,2,1
30,31800,20360,720,12,0,1
49,69104,10619,752,8,4,1
36,64339,3463,660,6,3,1
37,55446,15802,665,13,1,1
50,59250,6993,637,17,1,1
31,45618,23967,683,5,1,1
25,72202,11742,677,11,4,1
30,59130,28796,742,8,2,1
39,63328,1000,517,4,4,1
19,67142,16078,633,8,3,1
41,36908,26435,673,1,1,1
29,42114,7877,648,10,2,1
46,20000,13726,584,2,4,1
18,71294,11775,559,9,2,1
27,35755,9529,706,17,3,1
18,62651,16956,597,2,0,1
26,67419,4636,527,5,2,1
37,72047,14112,709,14,2,1
33,35919,19127,682,18,1,1
32,58696,13279,641,19,4,1
33,93405,6998,585,2,1,1
37,94286,23241,642,4,4,1
24,79746,20842,735,19,0,0
42,66749,6670,536,10,2,1
41,39897,4647,540,16,2,1
38,74372,7384,606,0,1,0
40,56839,19362,648,2,2,0
37,71210,17204,615,4,4,1
55,47343,21320,694,1,2,1
34,56541,12390,726,17,2,1
31,63282,7602,669,16,4,1
27,64925,22350,689,7,4,1
24,69874,10572,669,1,0,1
22,48416,16492,650,2,3,1
26,33134,2600,559,5,4,1
34,92495,10441,578,14,4,1
38,109785,23075,555,16,4,1
35,68948,9269,639,10,0,1
27,33520,21516,666,18,3,1
44,44536,1000,548,18,4,1
42,70182,10524,655,15,2,1
33,86822,13629,588,1,0,0
28,35742,28940,575,17,0,1
40,57513,5647,606,18,1,1
36,63918,20367,571,11,4,1
20,77291,23455,692,11,0,1
34,53127,9228,638,15,3,1
37,28723,12011,707,11,0,1
26,72423,16133,618,6,4,1
36,82495,3148,621,13,0,0
20,58348,11359,781,15,1,0
48,68104,25208,536,2,0,1
47,50510,19181,739,13,2,1
32,43084,13745,765,3,3,1
38,80528,15904,703,11,2,1
18,67749,19647,626,2,2,1
23,69807,21179,749,19,3,1
32,90042,10548,627,13,2,0
24,38903,27277,600,9,3,1
42,48959,25530,622,10,1,1
54,63158,20418,610,12,0,1
23,48713,8256,583,2,0,1
26,75662,6838,727,10,0,0
37,56252,12387,595,14,0,1
51,40149,15486,647,5,0,1
22,61315,1000,548,9,0,1
37,63406,18957,652,6,0,1
53,78693,25299,569,3,3,1
18,67862,19611,567,19,1,1
22,69222,9591,642,11,2,1
30,66405,8644,723,7,0,1
29,56235,17398,680,6,4,1
43,45675,13773,685,13,1,1
37,65776,18544,640,2,2,1
18,53337,19813,626,11,3,1
40,93796,23735,705,4,4,1
29,86843,5943,610,17,3,1
47,72656,16772,708,15,2,1
28,67569,12092,736,15,1,1
28,58240,14210,591,2,1,1
40,34777,21915,601,1,0,1
42,55676,22785,611,9,1,1
39,62028,26187,547,7,3,1
18,64589,18404,617,14,1,1
40,69390,14119,741,14,1,0
24,78426,12976,576,7,0,1
37,46156,1121,742,3,1,1
20,46338,25717,619,6,0,1
39,89017,12424,797,10,2,0
26,75419,19047,602,5,1,1
22,52184,20431,639,6,4,1
42,57855,5037,586,4,2,1
37,57945,7613,601,1,1,1
28,60631,27376,743,12,2,1
49,69453,17323,683,19,4,1
30,110699,10355,722,19,0,1
35,63795,13989,557,18,1,1
37,73251,23689,695,13,2,1
28,26270,22474,581,14,0,1
39,50302,3271,556,1,2,1
29,84576,28074,666,4,0,1
30,68046,22729,665,14,4,1
48,20000,13780,653,19,3,1
24,73480,5466,700,18,0,1
18,98363,23432,711,12,2,1
51,20081,18811,752,2,1,1
60,90387,3337,566,19,2,1
30,20000,13143,755,6,2,1
18,78759,40009,781,0,4,1
31,59827,15132,624,15,0,1
32,20000,9064,533,3,2,1
33,68922,6932,553,6,4,1
23,83016,29176,617,13,0,1
40,67277,21782,790,19,1,1
40,71696,26259,651,18,3,0
20,51766,16985,606,3,0,1
41,22772,25032,602,3,1,1
55,73837,8213,557,16,4,1
36,94995,16300,711,6,2,1
31,82591,17296,643,1,0,1
33,20242,26059,796,11,4,1
41,29702,17550,693,13,2,1
18,43080,9995,708,19,2,1
36,28140,15512,633,9,4,1
31,60883,1588,573,15,1,1
53,67868,1000,588,10,1,1
33,31394,21650,554,18,2,1
51,75542,12002,713,9,1,1
23,72022,12908,623,13,0,1
40,49036,21647,716,19,0,1
38,56549,26176,659,17,1,1
26,21003,19275,629,8,0,1
36,53354,30424,568,10,2,0
47,60147,19021,671,11,4,1
31,63374,17417,634,2,1,1
18,67577,16923,713,4,0,1
34,64884,4716,599,14,0,0
25,54713,22647,693,1,0,1
31,65723,1000,764,12,2,1
34,80040,10309,669,9,2,1
18,58090,15183,704,9,2,0
18,66351,8681,690,16,3,1
39,56276,11385,782,5,1,1
29,47064,29715,676,15,3,1
18,70457,23832,698,15,4,1
42,48895,9513,647,19,0,1
37,67722,11243,595,16,0,0
27,60565,4783,565,10,1,1
21,53921,20639,738,7,0,0
43,53437,13002,579,15,4,1
38,49837,1000,702,18,4,1
58,27083,15806,679,5,2,1
39,67657,18511,714,7,0,1
38,64630,22705,613,9,4,1
33,76993,14413,594,2,4,1
43,49370,12018,676,6,2,0
41,97907,30890,629,3,3,1
47,52405,15052,563,15,3,1
29,42497,20756,785,9,2,1
30,40126,10683,594,12,1,1
30,25321,20519,580,1,1,1
42,90652,3354,633,11,1,1
49,87421,11303,737,14,1,0
30,72014,5333,498,13,3,1
30,42078,10160,731,15,4,1
38,96225,25003,586,2,0,1
32,52965,10101,668,10,0,1
44,54619,20746,602,9,2,1
18,88745,27138,789,17,3,1
26,73178,14779,658,13,2,1
27,104022,22950,600,19,4,1
18,64974,19248,628,0,3,1
25,52059,15931,656,8,3,1
25,47763,21002,662,14,2,1
32,23060,29719,680,1,0,1
46,54428,9901,649,13,0,1
32,82891,7326,553,4,3,1
24,71976,6856,626,1,1,0
34,60406,22955,692,13,3,1
45,40101,24034,603,8,1,1
25,64537,10703,697,8,0,1
25,80256,1000,652,6,3,0
40,68614,9601,634,13,4,1
32,63334,19382,733,12,2,1
41,44060,14466,528,13,0,1
34,77343,16442,602,15,2,1
42,20000,10813,736,12,4,1
24,67656,23112,778,1,1,1
34,111406,17745,810,3,0,0
32,29832,19691,653,19,3,1
22,55172,16272,682,5,1,1
19,59841,19194,707,8,0,1
41,50748,18668,739,7,3,1
31,80727,7575,671,19,1,0
24,69449,17984,714,16,0,1
34,63046,21332,682,9,0,1
46,75945,24241,686,13,0,1
18,60335,18328,585,11,0,1
20,123597,7277,626,12,0,0
25,63026,8509,613,19,1,1
49,63905,11518,566,13,4,1
37,25790,16515,534,2,1,1
42,49130,14022,620,10,0,0
23,82947,6010,631,16,4,1
23,33290,5962,657,0,3,1
39,20000,1000,688,7,4,1
35,60646,1000,663,4,2,1
40,87414,13945,632,14,2,1
33,60847,33561,585,2,2,1
37,53277,29374,711,12,0,0
36,22830,7174,642,1,1,1
42,69045,16199,619,18,2,1
43,73225,3283,636,6,1,0
18,24365,4503,598,8,4,1
18,82690,5420,612,15,4,1
45,75313,13196,610,7,2,1
46,82646,13540,629,2,3,0
24,71670,17021,695,18,1,1
18,73073,20305,678,2,4,1
35,70414,12304,758,9,3,1
44,77369,15289,734,2,3,1
52,23624,6249,786,13,2,1
40,29978,4244,689,5,4,1
31,45279,3008,688,18,2,1
26,57403,20193,615,4,4,1
35,67762,12296,707,13,3,1
32,66493,1000,604,0,2,0
24,82342,14495,547,2,1,1
55,82969,5009,756,5,4,1
52,42552,28283,562,17,0,1
46,64771,10369,680,19,0,1
25,43043,20452,588,12,0,1
43,56235,23711,728,6,0,1
41,66435,7360,738,6,1,1
39,20000,15608,687,4,2,1
47,108224,19427,737,6,1,1
41,71328,15924,650,9,2,1
42,48085,17888,806,13,2,1
41,98547,4362,702,4,2,0
38,53051,19432,586,0,0,1
18,62650,11110,654,11,2,1
35,50257,17795,639,4,1,0
29,93039,22359,632,8,2,1
22,57900,20350,534,14,0,1
51,62989,17789,677,17,4,1
52,84075,20137,552,10,3,1
48,71702,20507,473,18,1,1
37,58913,26964,625,5,1,1
48,82207,14727,597,14,1,0
35,110769,16311,589,19,4,0
37,66348,22456,432,4,3,1
24,62335,11076,590,14,2,1
38,63412,4317,637,9,3,1
35,86208,18945,605,17,0,1
21,48016,13351,677,6,4,1
34,54433,5339,747,19,2,1
34,29251,19004,686,15,1,1
52,36322,26449,721,14,3,1
43,49643,1962,727,0,0,0
35,58881,23178,578,1,2,1
37,95381,1000,680,13,4,0
35,70719,11797,719,9,3,1
32,41758,29724,619,6,0,1
24,45440,12373,594,16,2,1
33,87494,15719,687,9,3,1
27,82532,21102,546,9,2,1
22,60562,1268,573,6,1,0
40,51149,15576,603,19,3,1
38,82498,15513,681,7,2,1
18,40133,29898,665,5,4,1
33,67840,5114,722,13,4,1
44,105453,11947,585,0,4,0
45,64107,7573,581,11,2,1
45,44487,6724,686,11,3,1
35,68207,24019,594,4,0,1
26,50599,15213,607,15,3,1
24,32117,10555,520,0,3,1
38,74020,10857,670,19,3,0
38,82356,10494,757,17,0,1
47,53781,11209,577,3,2,0
45,52455,4884,721,9,1,1
33,40768,12930,645,3,4,1
22,57001,12126,526,12,2,1
31,48752,8937,587,7,3,1
37,39779,16240,583,9,2,1
32,97843,16919,627,19,0,1
29,69329,10546,679,12,3,1
37,71447,13846,779,17,3,1
29,77667,32268,549,12,1,1
28,75420,31963,616,9,3,1
38,51737,6567,587,0,1,1
30,65451,7684,561,1,3,1
37,54619,6524,656,10,1,1
37,68769,23456,650,10,3,1
23,66833,11811,523,10,4,1
30,52346,16917,651,16,2,1
49,33414,30975,565,1,0,1
23,62924,14916,650,13,3,1
18,55914,20649,738,14,4,1
18,22192,19163,682,12,3,1
35,70153,10294,662,4,1,1
35,79306,23473,612,8,2,1
33,110567,8202,654,1,1,0
47,52176,25719,689,3,3,0
18,49225,10300,682,16,3,1
38,37811,11176,643,12,3,1
50,64172,6292,665,17,1,1
23,64046,7605,557,13,0,0
31,43774,11585,598,4,3,1
27,56501,1000,699,16,1,1
26,20426,13133,708,13,4,1
31,78527,10936,656,3,0,0
49,44586,21320,753,0,4,1
53,59306,18383,685,15,3,0
31,31466,9338,633,14,2,1
54,48352,11331,564,1,4,1
35,54408,13123,750,9,3,0
52,59774,26887,703,18,0,1
34,69594,8421,775,15,1,1
36,88781,9241,801,16,4,0
38,74654,5971,559,7,3,1
66,79243,3143,560,2,0,0
43,88922,17456,449,7,0,1
27,71394,16623,714,13,4,1
44,59265,25262,695,16,0,0
31,80182,23331,656,12,4,1
30,81460,34176,564,0,2,1
44,72971,14409,643,11,4,1
35,30907,12915,662,3,1,1
37,43170,4598,704,12,1,1
35,54502,20572,669,8,3,1
38,75592,15948,696,10,0,1
39,59573,20210,641,11,0,1
18,82737,5887,732,12,3,1
41,86304,17812,694,0,0,1
25,83983,16641,566,19,4,1
20,84110,16112,747,11,3,0
34,39260,9533,735,10,3,1
35,69652,24514,682,7,2,1
28,47849,31402,669,2,3,1
43,27018,6117,766,12,4,1
21,54250,20763,535,7,0,1
30,86494,1000,736,18,1,1
29,69214,20348,616,13,3,1
34,100356,1000,726,8,0,0
37,63544,10800,658,0,1,1
